#=================================================================
# Panel
# Report suite: VRS - Vetrina + Autenticato Inbiz - Produzione
"# Date: Aug 4, 2025 - Sep 4, 2025"
#=================================================================


##############################################
# Freeform table
##############################################
,Organic Search,Direct,Internal traffic,Referring Domains,Social Networks
,Page Views,Page Views,Page Views,Page Views,Page Views
Page,1382,1215,668,240,87
/it/inbiz-magazine/,929,764,465,82,3
/it/inbiz-magazine/inbiz-tools/verification-of-payee-pagamenti-digitali-affidabili/,63,44,4,7,0
/it/inbiz-magazine/inbiz-worldwide/import-export-nuovi-scenari-aziende-commercio-estero/,45,42,38,12,1
/it/inbiz-magazine/inbiz-worldwide/made-in-italy-emirati-arabi-export-opportunita/,41,32,23,11,0
/it/inbiz-magazine/inbiz-worldwide/sviluppo-export-made-in-italy/,39,5,3,4,0
/it/inbiz-magazine/inbiz-trends/nuovi-rischi-globali-aziende-resilienza-business-continuity/,32,53,35,34,1
/it/inbiz-magazine/inbiz-inspire/digitalizzazione-aziendale/,29,6,4,1,0
/it/inbiz-magazine/inbiz-worldwide/pagamenti-internazionali-ruolo-strategico-valute-esotiche/,19,9,14,11,0
/it/inbiz-magazine/inbiz-worldwide/import-export-prospettive-2025-tra-dazi-e-incertezze/,18,6,15,4,0
/en/inbiz-magazine/,16,66,4,0,4
/en/inbiz-magazine/inbiz-worldwide/made-in-italy-emirati-arabi-export-opportunities/,16,18,1,13,2
/it/inbiz-magazine/inbiz-worldwide/digital-export-nuova-frontiera-made-in-italy/,15,26,12,2,0
/en/inbiz-magazine/inbiz-worldwide/development-export-made-in-italy/,15,18,0,5,0
/it/inbiz-magazine/inbiz-trends/regolamento-digital-payment/,13,7,13,9,1
/en/inbiz-magazine/inbiz-tools/verification-of-payee-reliable-digital-payments/,13,2,0,1,0
/en/inbiz-magazine/inbiz-trends/instant-payment-regulation/,12,1,0,1,1
/it/inbiz-magazine/inbiz-inspire/da-tesoriere-a-chief-liquidity-officer-sfide-e-opportunita/,9,5,12,1,0
/en/inbiz-magazine/inbiz-worldwide/international-payments-strategic-role-exotic-currencies/,8,5,0,1,0
/it/inbiz-magazine/inbiz-inspire/supply-chain-finance-operare-in-filiera/,8,3,8,4,2
/it/inbiz-magazine/inbiz-trends/cybercrime-sicurezza-sfide-per-aziende-del-futuro/,7,1,5,0,0
/it/inbiz-magazine/inbiz-tools/pagamenti-digitali-b2b/,5,8,12,2,0
/en/inbiz-magazine/inbiz-worldwide/import-export-new-scenarios-companies-trading-internationally/,4,40,0,20,68
/en/inbiz-magazine/inbiz-tools/b2b-digital-payments-new-regulatory-framework/,3,6,0,1,0
/it/inbiz-magazine/inbiz-trends/cybercrime-sicurezza-sfide-per-aziende-del-futuro.html,3,1,0,0,0
/en/inbiz-magazine/inbiz-trends/new-global-risks-businesses-resilience-business-continuity/,2,18,0,7,3
/en/inbiz-magazine/inbiz-worldwide/import-export-2025-prospects-amid-tariffs-and-uncertainty/,2,3,0,0,0
/en/inbiz-magazine/inbiz-trends/cybercrime-security-challenges-for-businesses-of-the-future/,2,1,0,0,0
/en/inbiz-magazine/inbiz-inspire/corporate-digitalisation/,2,1,0,0,0
/en/inbiz-magazine/inbiz-worldwide/digital-export-new-frontier-made-in-italy/,2,1,0,0,0
/en/inbiz-magazine/inbiz-worldwide/import-export-2025-prospects-amid-tariffs-and-uncertainty.html,2,0,0,1,0
/en/inbiz-magazine/inbiz-inspire/from-treasurer-to-chief-liquidity-officer-challenges-and-opportunit,2,0,0,0,0
/it/inbiz-magazine/inbiz-tools/pagamenti-digitali-b2b.html,2,0,0,0,0
/en/inbiz-magazine/inbiz-inspire/strategic-value-of-supply-chain-finance/,1,9,0,0,0
/it/inbiz-magazine/inbiz-worldwide/,1,2,0,1,0
/it/inbiz-magazine/inbiz-inspire/digitalizzazione-aziendale.html,1,0,0,2,0
/it/inbiz-magazine/inbiz-worldwide/import-export-prospettive-2025-tra-dazi-e-incertezze.html,1,0,0,1,0
/it/inbiz-magazine/inbiz-tools/verification-of-payee-pagamenti-digitali-affidabili.html,0,10,0,0,0
/it/inbiz-magazine/inbiz-tools/,0,1,0,0,0
/it/inbiz-magazine/inbiz-trends/,0,1,0,0,0
/en/inbiz-magazine/inbiz-worldwide/development-export-made-in-italy.html,0,0,0,1,0
/en/inbiz-magazine/inbiz-worldwide/digital-export-new-frontier-made-in-italy.html,0,0,0,1,0
/it/inbiz-magazine/inbiz-worldwide/digital-export-nuova-frontiera-made-in-italy.html,0,0,0,0,1
