#=================================================================
# Freeform
# Report suite: VRS - Vetrina + Autenticato Inbiz - Produzione
"# Date: Aug 4, 2025 - Sep 4, 2025"
#=================================================================


##############################################
# Freeform table
##############################################
,Entries,Exit Rate,Time Spent per Visit (seconds),Unique Visitors,Page Views
Page,945,0.3823076923076923,97.10529100529101,2259,3592
/it/inbiz-magazine/,437,0.17994858611825193,52.77294981640147,1743,2243
/it/inbiz-magazine/inbiz-trends/nuovi-rischi-globali-aziende-resilienza-business-continuity/,56,0.48484848484848486,212.94805194805195,114,155
/it/inbiz-magazine/inbiz-worldwide/import-export-nuovi-scenari-aziende-commercio-estero/,9,0.4180327868852459,150.82051282051282,110,138
/en/inbiz-magazine/inbiz-worldwide/import-export-new-scenarios-companies-trading-internationally/,109,0.9285714285714286,84.42307692307692,104,132
/it/inbiz-magazine/inbiz-worldwide/made-in-italy-emirati-arabi-export-opportunita/,43,0.4845360824742268,184.8235294117647,88,107
/it/inbiz-magazine/inbiz-tools/verification-of-payee-pagamenti-digitali-affidabili/,15,0.4606741573033708,248.3684210526316,80,118
/it/inbiz-magazine/inbiz-worldwide/pagamenti-internazionali-ruolo-strategico-valute-esotiche/,27,0.5918367346938775,159.14285714285714,42,53
/it/inbiz-magazine/inbiz-worldwide/sviluppo-export-made-in-italy/,34,0.8372093023255814,534.6363636363636,37,51
/en/inbiz-magazine/,7,0.2682926829268293,51.5,37,90
/it/inbiz-magazine/inbiz-trends/regolamento-digital-payment/,8,0.3333333333333333,150.55555555555554,36,43
/it/inbiz-magazine/inbiz-inspire/digitalizzazione-aziendale/,24,0.7297297297297297,158.15384615384616,33,40
/it/inbiz-magazine/inbiz-worldwide/digital-export-nuova-frontiera-made-in-italy/,33,0.7450980392156863,177.07142857142858,31,55
/it/inbiz-magazine/inbiz-worldwide/import-export-prospettive-2025-tra-dazi-e-incertezze/,12,0.5277777777777778,323.4,29,43
/en/inbiz-magazine/inbiz-worldwide/made-in-italy-emirati-arabi-export-opportunities/,23,0.6764705882352942,164.47058823529412,27,50
/it/inbiz-magazine/inbiz-tools/pagamenti-digitali-b2b/,5,0.48148148148148145,117.42857142857143,27,27
/it/inbiz-magazine/inbiz-inspire/da-tesoriere-a-chief-liquidity-officer-sfide-e-opportunita/,7,0.5555555555555556,287.9166666666667,25,27
/it/inbiz-magazine/inbiz-inspire/supply-chain-finance-operare-in-filiera/,5,0.44,108.92857142857143,24,25
/en/inbiz-magazine/inbiz-worldwide/development-export-made-in-italy/,29,0.8787878787878788,277.42857142857144,19,38
/en/inbiz-magazine/inbiz-trends/new-global-risks-businesses-resilience-business-continuity/,14,0.75,50.333333333333336,19,30
/it/inbiz-magazine/inbiz-trends/cybercrime-sicurezza-sfide-per-aziende-del-futuro/,2,0.3076923076923077,49.55555555555556,13,13
/en/inbiz-magazine/inbiz-worldwide/international-payments-strategic-role-exotic-currencies/,7,0.6153846153846154,182,12,14
/en/inbiz-magazine/inbiz-tools/b2b-digital-payments-new-regulatory-framework/,6,0.7777777777777778,77.33333333333333,9,10
/en/inbiz-magazine/inbiz-tools/verification-of-payee-reliable-digital-payments/,2,0.45454545454545453,140.5,9,16
/en/inbiz-magazine/inbiz-trends/instant-payment-regulation/,3,0.375,336.2,8,15
/it/inbiz-magazine/inbiz-tools/verification-of-payee-pagamenti-digitali-affidabili.html,10,1,0,7,10
/it/inbiz-magazine/inbiz-trends/cybercrime-sicurezza-sfide-per-aziende-del-futuro.html,4,0.75,104,4,4
/en/inbiz-magazine/inbiz-worldwide/import-export-2025-prospects-amid-tariffs-and-uncertainty/,1,0.8,20,4,5
/it/inbiz-magazine/inbiz-inspire/digitalizzazione-aziendale.html,3,1,0,3,3
/en/inbiz-magazine/inbiz-worldwide/import-export-2025-prospects-amid-tariffs-and-uncertainty.html,3,1,0,3,3
/en/inbiz-magazine/inbiz-worldwide/digital-export-new-frontier-made-in-italy/,1,0.6666666666666666,13,3,3
/en/inbiz-magazine/inbiz-trends/cybercrime-security-challenges-for-businesses-of-the-future/,1,0.3333333333333333,38,3,3
/it/inbiz-magazine/inbiz-worldwide/,0,0.3333333333333333,14.5,3,4
/en/inbiz-magazine/inbiz-inspire/strategic-value-of-supply-chain-finance/,0,0,120.66666666666667,3,10
/it/inbiz-magazine/inbiz-worldwide/import-export-prospettive-2025-tra-dazi-e-incertezze.html,2,0.5,9,2,2
/it/inbiz-magazine/inbiz-tools/pagamenti-digitali-b2b.html,1,0,37.5,2,2
/en/inbiz-magazine/inbiz-inspire/corporate-digitalisation/,0,0,67.33333333333333,2,3
/en/inbiz-magazine/inbiz-inspire/from-treasurer-to-chief-liquidity-officer-challenges-and-opportunit,0,0,24.5,2,2
/en/inbiz-magazine/inbiz-worldwide/development-export-made-in-italy.html,1,1,0,1,1
/en/inbiz-magazine/inbiz-worldwide/digital-export-new-frontier-made-in-italy.html,1,1,0,1,1
/it/inbiz-magazine/inbiz-worldwide/digital-export-nuova-frontiera-made-in-italy.html,0,1,0,1,1
/it/inbiz-magazine/inbiz-trends/,0,0,234,1,1
/it/inbiz-magazine/inbiz-tools/,0,0,8,1,1
